"","police_id","n"
"975","405441",15
"976","405442",16
"977","405447",16
"978","405448",8
"979","405449",16
"980","405455",4
"981","405458",5
"982","405461",5
"983","405463",16
"984","405464",15
"985","406878",3
"986","410799",5
"987","411187",17
"988","411429",11
"989","412203",10
"990","412355",8
"991","414422",15
"992","414430",11
"993","414621",14
"994","414644",10
"995","414645",14
"996","414648",3
"997","414650",15
"998","414651",6
"999","414652",16
"1000","414657",2
"1001","414660",14
"1002","414665",9
"1003","414668",6
"1004","414670",9
"1005","414699",5
"1006","414706",16
"1007","414707",12
"1008","414711",11
"1009","414718",13
"1010","414722",10
"1011","414730",3
"1012","414731",10
"1013","414735",13
"1014","414746",12
"1015","418300",5
"1016","418761",13
"1017","419952",15
"1018","419957",9
"1019","419972",15
"1020","419973",7
"1021","419981",6
"1022","419983",3
"1023","419989",8
"1024","419994",16
"1025","419997",15
"1026","420005",7
"1027","420021",2
"1028","420034",17
"1029","420035",12
"1030","420036",12
"1031","420038",6
"1032","420041",2
"1033","420042",11
"1034","420043",13
"1035","420046",11
"1036","420051",4
"1037","420055",10
"1038","420057",5
"1039","420059",8
"1040","423024",10
"1041","429181",10
"1042","429182",11
"1043","429185",15
"1044","429187",16
"1045","429188",16
"1046","429189",7
"1047","429190",11
"1048","429191",14
"1049","429193",15
"1050","429202",5
"1051","429204",15
"1052","429205",15
"1053","429206",10
"1054","429208",7
"1055","429214",3
"1056","429215",4
"1057","429218",1
"1058","429220",15
"1059","429223",15
"1060","430440",5
"1061","431325",11
"1062","433550",6
"1063","433764",7
"1064","433989",6
"1065","433997",6
"1066","434039",3
"1067","435391",6
"1068","437465",4
"1069","439917",4
"1070","449286",10
"1071","450846",7
"1072","451313",3
"1073","452325",7
"1074","452702",12
"1075","453088",13
"1076","453871",11
"1077","459042",7
"1078","459470",3
"1079","459509",6
"1080","459522",6
"1081","461089",13
"1082","461874",15
"1083","462466",7
"1084","462470",8
"1085","462474",5
"1086","462482",13
"1087","462484",6
"1088","462485",3
"1089","462488",6
"1090","462491",11
"1091","462492",14
"1092","462493",1
"1093","462494",17
"1094","462501",1
"1095","462524",6
"1096","462525",2
"1097","462685",3
"1098","466823",4
"1099","467992",14
"1100","468030",15
"1101","468031",16
"1102","468034",7
"1103","468036",12
"1104","468037",6
"1105","468044",14
"1106","468045",12
"1107","468048",15
"1108","468049",5
"1109","468051",4
"1110","468052",15
"1111","468054",5
"1112","468055",5
"1113","468056",4
"1114","468058",4
"1115","468059",15
"1116","468061",13
"1117","468062",16
"1118","468064",17
"1119","468065",17
"1120","468066",4
"1121","468069",6
"1122","468075",3
"1123","468084",4
"1124","468086",6
"1125","468092",15
"1126","468094",16
"1127","468098",16
"1128","468101",4
"1129","468160",10
"1130","468179",14
"1131","468275",10
"1132","468285",10
"1133","468650",6
"1134","470688",17
"1135","471536",2
"1136","471909",15
"1137","472125",3
"1138","472332",6
"1139","472337",9
"1140","472339",10
"1141","472343",11
"1142","472344",10
"1143","473187",6
"1144","473190",16
"1145","473191",11
"1146","473657",10
"1147","473663",16
"1148","473664",4
"1149","473669",9
"1150","473670",15
"1151","473975",14
"1152","473976",6
"1153","474170",7
"1154","474373",7
"1155","474557",16
"1156","475122",14
"1157","475527",6
"1158","475564",9
"1159","475582",2
"1160","475583",15
"1161","475584",6
"1162","475585",12
"1163","475589",3
